Territorialidade,Posição IDHM,IDHM,Posição IDHM Renda,IDHM Renda,Posição IDHM Educação,IDHM Educação,Posição IDHM Longevidade,IDHM Longevidade,Posição Mulheres,IDHM Mulheres,Posição Homens,IDHM Homens,Posição Negros,IDHM Negros,Posição Brancos,IDHM Brancos,Posição Urbano,IDHM Urbano,Posição Rural,IDHM Rural
São João Nepomuceno (MG),1665,0.708,1707,0.696,1957,0.6,722,0.85,,,,,,,,,,,,
Ibirarema (SP),1665,0.708,1817,0.692,1433,0.628,2307,0.817,,,,,,,,,,,,
Itaiópolis (SC),1665,0.708,1576,0.7,1835,0.606,1370,0.836,,,,,,,,,,,,
Galvão (SC),1665,0.708,1449,0.704,1633,0.618,2407,0.815,,,,,,,,,,,,
Mallet (PR),1665,0.708,2119,0.681,1097,0.645,2696,0.809,,,,,,,,,,,,
Mirim Doce (SC),1665,0.708,2061,0.683,1329,0.633,2112,0.821,,,,,,,,,,,,
Flor do Sertão (SC),1665,0.708,692,0.736,1802,0.608,3428,0.792,,,,,,,,,,,,
Piraí do Sul (PR),1665,0.708,1516,0.702,1615,0.619,2357,0.816,,,,,,,,,,,,
Dom Pedrito (RS),1665,0.708,1166,0.715,2245,0.585,792,0.848,,,,,,,,,,,,
Cáceres (MT),1665,0.708,1858,0.691,1329,0.633,2504,0.813,,,,,,,,,,,,
Romaria (MG),1665,0.708,989,0.722,1880,0.604,2504,0.813,,,,,,,,,,,,
Alvorada do Sul (PR),1665,0.708,1741,0.695,1649,0.617,1846,0.826,,,,,,,,,,,,
Madre de Deus (BA),1665,0.708,2428,0.67,758,0.667,3362,0.794,,,,,,,,,,,,
Campos Borges (RS),1665,0.708,1449,0.704,1670,0.616,2216,0.819,,,,,,,,,,,,
Pedra do Indaiá (MG),1665,0.708,1939,0.688,1744,0.611,1032,0.843,,,,,,,,,,,,
Paulo Frontin (PR),1665,0.708,1939,0.688,1209,0.639,2849,0.806,,,,,,,,,,,,
Sarapuí (SP),1696,0.707,1605,0.699,1577,0.621,2453,0.814,,,,,,,,,,,,
Estrela do Norte (GO),1696,0.707,1473,0.703,2084,0.593,792,0.848,,,,,,,,,,,,
Rio Branco (MT),1696,0.707,1547,0.701,1649,0.617,2307,0.817,,,,,,,,,,,,
Conselheiro Mairinck (PR),1696,0.707,2295,0.675,1020,0.65,2849,0.806,,,,,,,,,,,,
São José do Hortêncio (RS),1696,0.707,1111,0.717,2014,0.597,1951,0.824,,,,,,,,,,,,
Santa Bárbara (MG),1696,0.707,2266,0.676,1157,0.642,2357,0.816,,,,,,,,,,,,
Leópolis (PR),1696,0.707,2709,0.657,815,0.663,2562,0.812,,,,,,,,,,,,
Iracema do Oeste (PR),1696,0.707,2375,0.672,1395,0.63,1370,0.836,,,,,,,,,,,,
Rancho Alegre (PR),1696,0.707,1858,0.691,1329,0.633,2754,0.808,,,,,,,,,,,,
Rio Novo (MG),1696,0.707,2405,0.671,1370,0.631,1419,0.835,,,,,,,,,,,,
Áurea (RS),1696,0.707,1166,0.715,2185,0.588,1128,0.841,,,,,,,,,,,,
Iguatama (MG),1696,0.707,1741,0.695,1670,0.616,1905,0.825,,,,,,,,,,,,
Itaguajé (PR),1696,0.707,2375,0.672,802,0.664,3475,0.791,,,,,,,,,,,,
Jaguarão (RS),1696,0.707,1649,0.698,1802,0.608,1560,0.832,,,,,,,,,,,,
Minaçu (GO),1696,0.707,1858,0.691,1248,0.637,2990,0.803,,,,,,,,,,,,
Arroio do Tigre (RS),1696,0.707,1346,0.708,2174,0.589,792,0.848,,,,,,,,,,,,
Sul Brasil (SC),1696,0.707,1217,0.713,2045,0.595,1560,0.832,,,,,,,,,,,,
Derrubadas (RS),1696,0.707,2562,0.664,1433,0.628,901,0.846,,,,,,,,,,,,
Jandaia (GO),1696,0.707,1890,0.69,1492,0.625,2112,0.821,,,,,,,,,,,,
Várzea (PB),1696,0.707,3334,0.619,212,0.714,3129,0.8,,,,,,,,,,,,
Irati (SC),1696,0.707,1768,0.694,1782,0.609,1370,0.836,,,,,,,,,,,,
Matutina (MG),1696,0.707,532,0.744,2953,0.552,451,0.859,,,,,,,,,,,,
Montes Claros de Goiás (GO),1696,0.707,1449,0.704,1556,0.622,2849,0.806,,,,,,,,,,,,
Itirapuã (SP),1696,0.707,2343,0.673,1271,0.636,1846,0.826,,,,,,,,,,,,
Novo Horizonte (SC),1720,0.706,1576,0.7,2065,0.594,901,0.846,,,,,,,,,,,,
Santa Juliana (MG),1720,0.706,897,0.726,2816,0.558,238,0.868,,,,,,,,,,,,
Iporã (PR),1720,0.706,1707,0.696,1744,0.611,1704,0.829,,,,,,,,,,,,
Paim Filho (RS),1720,0.706,918,0.725,2816,0.558,204,0.87,,,,,,,,,,,,
Campos Novos Paulista (SP),1720,0.706,2428,0.67,1232,0.638,1951,0.824,,,,,,,,,,,,
Doutor Maurício Cardoso (RS),1720,0.706,1372,0.707,2084,0.593,1183,0.84,,,,,,,,,,,,
Hidrolândia (GO),1720,0.706,1372,0.707,1904,0.603,1798,0.827,,,,,,,,,,,,
Planalto (PR),1720,0.706,1449,0.704,1271,0.636,3629,0.786,,,,,,,,,,,,
Joviânia (GO),1720,0.706,1190,0.714,2045,0.595,1798,0.827,,,,,,,,,,,,
Princesa (SC),1720,0.706,1547,0.701,1744,0.611,2161,0.82,,,,,,,,,,,,
Campo Florido (MG),1720,0.706,715,0.735,2816,0.558,473,0.858,,,,,,,,,,,,
Campestre da Serra (RS),1720,0.706,1217,0.713,2844,0.557,22,0.886,,,,,,,,,,,,
Dionísio Cerqueira (SC),1720,0.706,1473,0.703,1766,0.61,2161,0.82,,,,,,,,,,,,
Lapa (PR),1720,0.706,1707,0.696,2045,0.595,792,0.848,,,,,,,,,,,,
Caetanópolis (MG),1720,0.706,2318,0.674,1649,0.617,943,0.845,,,,,,,,,,,,
Santa Bárbara de Goiás (GO),1720,0.706,2490,0.667,1295,0.635,1560,0.832,,,,,,,,,,,,
Costa Rica (MS),1720,0.706,1111,0.717,1835,0.606,2611,0.811,,,,,,,,,,,,
Santo Antônio do Pinhal (SP),1720,0.706,2020,0.685,1350,0.632,2562,0.812,,,,,,,,,,,,
Mossâmedes (GO),1720,0.706,1707,0.696,1535,0.623,2611,0.811,,,,,,,,,,,,
Cesário Lange (SP),1720,0.706,1166,0.715,1744,0.611,2940,0.804,,,,,,,,,,,,
Santa Cruz de Minas (MG),1720,0.706,2647,0.66,1271,0.636,1238,0.839,,,,,,,,,,,,
Ibiraci (MG),1720,0.706,1707,0.696,2133,0.591,551,0.855,,,,,,,,,,,,
Douradoquara (MG),1720,0.706,1449,0.704,2133,0.591,846,0.847,,,,,,,,,,,,
Três Barras (SC),1720,0.706,2230,0.677,1209,0.639,2453,0.814,,,,,,,,,,,,
Itatinga (SP),1720,0.706,2020,0.685,1766,0.61,1128,0.841,,,,,,,,,,,,
Laranjeiras do Sul (PR),1720,0.706,1318,0.709,2065,0.594,1419,0.835,,,,,,,,,,,,
Cromínia (GO),1720,0.706,1817,0.692,1308,0.634,2990,0.803,,,,,,,,,,,,
Caratinga (MG),1720,0.706,1678,0.697,1904,0.603,1370,0.836,,,,,,,,,,,,
Cachoeira de Minas (MG),1720,0.706,2343,0.673,1248,0.637,2112,0.821,,,,,,,,,,,,
Xambrê (PR),1720,0.706,1473,0.703,1835,0.606,1905,0.825,,,,,,,,,,,,
Capanema (PR),1720,0.706,1069,0.719,1744,0.611,3077,0.801,,,,,,,,,,,,
Novo Barreiro (RS),1720,0.706,739,0.734,2065,0.594,2754,0.808,,,,,,,,,,,,
Chuí (RS),1720,0.706,2266,0.676,898,0.658,3428,0.792,,,,,,,,,,,,
Coxilha (RS),1720,0.706,1797,0.693,2233,0.586,276,0.866,,,,,,,,,,,,
Ivaté (PR),1720,0.706,2035,0.684,1176,0.641,2990,0.803,,,,,,,,,,,,
Barracão (PR),1720,0.706,1136,0.716,2157,0.59,1515,0.833,,,,,,,,,,,,
Santa Rosa do Sul (SC),1756,0.705,1516,0.702,1633,0.618,2849,0.806,,,,,,,,,,,,
Inajá (PR),1756,0.705,2266,0.676,1176,0.641,2805,0.807,,,,,,,,,,,,
Ribeirão Grande (SP),1756,0.705,2971,0.643,634,0.676,2805,0.807,,,,,,,,,,,,
Carmo do Paranaíba (MG),1756,0.705,1217,0.713,2531,0.571,390,0.861,,,,,,,,,,,,
Santa Tereza do Oeste (PR),1756,0.705,1996,0.686,1350,0.632,2754,0.808,,,,,,,,,,,,
Borebi (SP),1756,0.705,2318,0.674,1687,0.615,901,0.846,,,,,,,,,,,,
Jesuítas (PR),1756,0.705,2149,0.68,1687,0.615,1238,0.839,,,,,,,,,,,,
Alto Taquari (MT),1756,0.705,692,0.736,2531,0.571,1515,0.833,,,,,,,,,,,,
Itaju (SP),1756,0.705,1707,0.696,1712,0.613,1987,0.823,,,,,,,,,,,,
Planaltina do Paraná (PR),1756,0.705,2090,0.682,1082,0.646,3329,0.795,,,,,,,,,,,,
Belmonte (SC),1756,0.705,1605,0.699,1744,0.611,2161,0.82,,,,,,,,,,,,
Itamonte (MG),1756,0.705,1741,0.695,2133,0.591,610,0.853,,,,,,,,,,,,
Guiratinga (MT),1756,0.705,2230,0.677,1248,0.637,2504,0.813,,,,,,,,,,,,
Bofete (SP),1756,0.705,1576,0.7,1782,0.609,2112,0.821,,,,,,,,,,,,
Vila Lângaro (RS),1756,0.705,297,0.759,2967,0.551,1238,0.839,,,,,,,,,,,,
Santa Fé (PR),1756,0.705,1008,0.721,1945,0.601,2754,0.808,,,,,,,,,,,,
Santa Rosa da Serra (MG),1756,0.705,1741,0.695,2293,0.583,276,0.866,,,,,,,,,,,,
Avanhandava (SP),1756,0.705,1939,0.688,1535,0.623,2307,0.817,,,,,,,,,,,,
Restinga (SP),1756,0.705,2562,0.664,1209,0.639,1846,0.826,,,,,,,,,,,,
União do Oeste (SC),1756,0.705,1473,0.703,1835,0.606,1987,0.823,,,,,,,,,,,,
Boa Esperança (MG),1776,0.704,1768,0.694,2210,0.587,551,0.855,,,,,,,,,,,,
Araruna (PR),1776,0.704,2020,0.685,1050,0.648,3649,0.785,,,,,,,,,,,,
Nova Xavantina (MT),1776,0.704,1217,0.713,1712,0.613,3129,0.8,,,,,,,,,,,,
Santa Mônica (PR),1776,0.704,1649,0.698,1395,0.63,3428,0.792,,,,,,,,,,,,
Papanduva (SC),1776,0.704,1858,0.691,1904,0.603,1370,0.836,,,,,,,,,,,,
Ibirité (MG),1776,0.704,2343,0.673,1670,0.616,1183,0.84,,,,,,,,,,,,
São Miguel do Iguaçu (PR),1776,0.704,897,0.726,2185,0.588,2259,0.818,,,,,,,,,,,,
Canas (SP),1776,0.704,2908,0.646,620,0.677,3252,0.797,,,,,,,,,,,,
Salto do Itararé (PR),1776,0.704,2626,0.661,1370,0.631,1370,0.836,,,,,,,,,,,,
São Pedro do Paraná (PR),1776,0.704,2212,0.678,1670,0.616,1370,0.836,,,,,,,,,,,,
Mirassol D'Oeste (MT),1776,0.704,961,0.723,2111,0.592,2357,0.816,,,,,,,,,,,,
Nova Marilândia (MT),1776,0.704,2149,0.68,1535,0.623,1987,0.823,,,,,,,,,,,,
Alto Araguaia (MT),1776,0.704,1248,0.712,1727,0.612,3026,0.802,,,,,,,,,,,,
São José da Varginha (MG),1776,0.704,2090,0.682,2014,0.597,501,0.857,,,,,,,,,,,,
Parobé (RS),1776,0.704,1576,0.7,2729,0.562,22,0.886,,,,,,,,,,,,
Chapadão do Lageado (SC),1776,0.704,2149,0.68,1670,0.616,1515,0.833,,,,,,,,,,,,
Tabatinga (SP),1776,0.704,1576,0.7,1782,0.609,2259,0.818,,,,,,,,,,,,
Cássia (MG),1776,0.704,961,0.723,2427,0.576,1315,0.837,,,,,,,,,,,,
Euclides da Cunha Paulista (SP),1776,0.704,2592,0.663,945,0.655,3026,0.802,,,,,,,,,,,,
Quaraí (RS),1776,0.704,2343,0.673,1782,0.609,643,0.852,,,,,,,,,,,,
Arenápolis (MT),1776,0.704,2230,0.677,1032,0.649,3400,0.793,,,,,,,,,,,,
Ladário (MS),1776,0.704,1967,0.687,1633,0.618,2064,0.822,,,,,,,,,,,,
Salto Grande (SP),1776,0.704,2562,0.664,1248,0.637,1905,0.825,,,,,,,,,,,,
Rancho Alegre D'Oeste (PR),1776,0.704,2343,0.673,1492,0.625,1603,0.831,,,,,,,,,,,,
Lontras (SC),1776,0.704,715,0.735,2352,0.579,2161,0.82,,,,,,,,,,,,
Buritinópolis (GO),1776,0.704,870,0.727,2133,0.591,2504,0.813,,,,,,,,,,,,
Palma Sola (SC),1776,0.704,1576,0.7,1556,0.622,3129,0.8,,,,,,,,,,,,
Quissamã (RJ),1776,0.704,1649,0.698,1766,0.61,2112,0.821,,,,,,,,,,,,
Campina Verde (MG),1776,0.704,1190,0.714,2729,0.562,238,0.868,,,,,,,,,,,,
Araçariguama (SP),1776,0.704,1111,0.717,2014,0.597,2453,0.814,,,,,,,,,,,,
Campina da Lagoa (PR),1776,0.704,2230,0.677,1535,0.623,1704,0.829,,,,,,,,,,,,
Caçapava do Sul (RS),1776,0.704,1605,0.699,2245,0.585,551,0.855,,,,,,,,,,,,
Mateus Leme (MG),1776,0.704,1939,0.688,1880,0.604,1238,0.839,,,,,,,,,,,,
Ivolândia (GO),1776,0.704,2149,0.68,1556,0.622,1905,0.825,,,,,,,,,,,,
Siqueira Campos (PR),1776,0.704,1346,0.708,2185,0.588,1238,0.839,,,,,,,,,,,,
Camapuã (MS),1811,0.703,1166,0.715,2035,0.596,2307,0.817,,,,,,,,,,,,
Castro (PR),1811,0.703,1449,0.704,1957,0.6,1987,0.823,,,,,,,,,,,,
Iguatu (PR),1811,0.703,2375,0.672,1248,0.637,2562,0.812,,,,,,,,,,,,
Tapejara (PR),1811,0.703,1768,0.694,1727,0.612,2216,0.819,,,,,,,,,,,,
Entre Rios do Sul (RS),1811,0.703,1318,0.709,2509,0.572,501,0.857,,,,,,,,,,,,
Porangaba (SP),1811,0.703,1707,0.696,2377,0.578,319,0.864,,,,,,,,,,,,
Fernão (SP),1811,0.703,2466,0.668,1649,0.617,1032,0.843,,,,,,,,,,,,
Guaçuí (ES),1811,0.703,1858,0.691,2045,0.595,901,0.846,,,,,,,,,,,,
Pontes E Lacerda (MT),1811,0.703,1268,0.711,1857,0.605,2805,0.807,,,,,,,,,,,,
Iporanga (SP),1811,0.703,3068,0.637,738,0.668,2357,0.816,,,,,,,,,,,,
Araquari (SC),1811,0.703,1707,0.696,1921,0.602,1647,0.83,,,,,,,,,,,,
Guarantã do Norte (MT),1811,0.703,1817,0.692,1782,0.609,1846,0.826,,,,,,,,,,,,
Francisco Morato (SP),1811,0.703,2667,0.659,1068,0.647,2407,0.815,,,,,,,,,,,,
Jeriquara (SP),1811,0.703,2149,0.68,1433,0.628,2453,0.814,,,,,,,,,,,,
Lagoa Formosa (MG),1811,0.703,1111,0.717,2304,0.582,1560,0.832,,,,,,,,,,,,
Boa Vista do Cadeado (RS),1811,0.703,1817,0.692,2157,0.59,702,0.851,,,,,,,,,,,,
Uruana (GO),1811,0.703,2535,0.665,1308,0.634,1951,0.824,,,,,,,,,,,,
Ibaté (SP),1811,0.703,2119,0.681,1457,0.627,2453,0.814,,,,,,,,,,,,
Conceição dos Ouros (MG),1811,0.703,2466,0.668,1633,0.618,1075,0.842,,,,,,,,,,,,
Campo Novo (RS),1811,0.703,2230,0.677,2084,0.593,276,0.866,,,,,,,,,,,,
Maria Helena (PR),1811,0.703,2149,0.68,1822,0.607,1075,0.842,,,,,,,,,,,,
Goianápolis (GO),1811,0.703,2212,0.678,1593,0.62,1905,0.825,,,,,,,,,,,,
Riolândia (SP),1811,0.703,2230,0.677,1416,0.629,2307,0.817,,,,,,,,,,,,
Três Palmeiras (RS),1811,0.703,478,0.747,2776,0.56,1560,0.832,,,,,,,,,,,,
Itararé (SP),1811,0.703,2466,0.668,1032,0.649,2990,0.803,,,,,,,,,,,,
Palma (MG),1811,0.703,2592,0.663,1535,0.623,1128,0.841,,,,,,,,,,,,
Macuco (RJ),1811,0.703,1967,0.687,1370,0.631,3077,0.801,,,,,,,,,,,,
Coxim (MS),1811,0.703,1069,0.719,2352,0.579,1370,0.836,,,,,,,,,,,,
Perdigão (MG),1811,0.703,1268,0.711,2352,0.579,1032,0.843,,,,,,,,,,,,
São Pedro do Turvo (SP),1811,0.703,2626,0.661,1271,0.636,1846,0.826,,,,,,,,,,,,
Caseiros (RS),1811,0.703,1707,0.696,1957,0.6,1515,0.833,,,,,,,,,,,,
Dionísio (MG),1842,0.702,2822,0.651,1068,0.647,2112,0.821,,,,,,,,,,,,
Paraíba do Sul (RJ),1842,0.702,1678,0.697,1766,0.61,2562,0.812,,,,,,,,,,,,
Pitanga (PR),1842,0.702,1707,0.696,1577,0.621,3026,0.802,,,,,,,,,,,,
Pontalinda (SP),1842,0.702,2230,0.677,1880,0.604,846,0.847,,,,,,,,,,,,
Itaguaçu (ES),1842,0.702,2375,0.672,1176,0.641,3026,0.802,,,,,,,,,,,,
Maria da Fé (MG),1842,0.702,2908,0.646,1248,0.637,1075,0.842,,,,,,,,,,,,
Vitorino (PR),1842,0.702,848,0.728,2304,0.582,2259,0.818,,,,,,,,,,,,
Botelhos (MG),1842,0.702,1516,0.702,2600,0.568,238,0.868,,,,,,,,,,,,
Guapirama (PR),1842,0.702,2513,0.666,1097,0.645,2899,0.805,,,,,,,,,,,,
Nortelândia (MT),1842,0.702,2789,0.653,738,0.668,3400,0.793,,,,,,,,,,,,
Ariquemes (RO),1842,0.702,1136,0.716,1957,0.6,2849,0.806,,,,,,,,,,,,
Santo Antônio da Alegria (SP),1842,0.702,1890,0.69,1880,0.604,1647,0.83,,,,,,,,,,,,
Baixo Guandu (ES),1842,0.702,2428,0.67,1248,0.637,2611,0.811,,,,,,,,,,,,
Campos Altos (MG),1842,0.702,1890,0.69,2304,0.582,425,0.86,,,,,,,,,,,,
Santo Antônio de Posse (SP),1842,0.702,1091,0.718,2427,0.576,1281,0.838,,,,,,,,,,,,
Correia Pinto (SC),1842,0.702,1547,0.701,1703,0.614,2940,0.804,,,,,,,,,,,,
Muitos Capões (RS),1842,0.702,1268,0.711,2816,0.558,147,0.873,,,,,,,,,,,,
Nonoai (RS),1842,0.702,1473,0.703,2133,0.591,1515,0.833,,,,,,,,,,,,
Edealina (GO),1842,0.702,989,0.722,2065,0.594,2754,0.808,,,,,,,,,,,,
Morro Redondo (RS),1842,0.702,1069,0.719,2844,0.557,319,0.864,,,,,,,,,,,,
Luiziânia (SP),1842,0.702,2090,0.682,1535,0.623,2407,0.815,,,,,,,,,,,,
Inhaúma (MG),1842,0.702,2709,0.657,1517,0.624,943,0.845,,,,,,,,,,,,
Adelândia (GO),1842,0.702,2562,0.664,1556,0.622,1370,0.836,,,,,,,,,,,,
Viadutos (RS),1842,0.702,1166,0.715,2757,0.561,319,0.864,,,,,,,,,,,,
Eusébio (CE),1866,0.701,1576,0.7,1577,0.621,3362,0.794,,,,,,,,,,,,
Travesseiro (RS),1866,0.701,715,0.735,2798,0.559,1238,0.839,,,,,,,,,,,,
Senador Canedo (GO),1866,0.701,2266,0.676,1649,0.617,1798,0.827,,,,,,,,,,,,
Pratânia (SP),1866,0.701,2119,0.681,1329,0.633,3214,0.798,,,,,,,,,,,,
Bom Jesus de Goiás (GO),1866,0.701,1605,0.699,2490,0.573,425,0.86,,,,,,,,,,,,
Teófilo Otoni (MG),1866,0.701,1649,0.698,1995,0.598,1951,0.824,,,,,,,,,,,,
Centenário (RS),1866,0.701,1372,0.707,2578,0.569,527,0.856,,,,,,,,,,,,
Brazabrantes (GO),1866,0.701,2230,0.677,1687,0.615,1846,0.826,,,,,,,,,,,,
Colinas do Tocantins (TO),1866,0.701,1890,0.69,1703,0.614,2453,0.814,,,,,,,,,,,,
Santa Rosa de Goiás (GO),1866,0.701,2971,0.643,1295,0.635,986,0.844,,,,,,,,,,,,
Castelândia (GO),1866,0.701,937,0.724,2377,0.578,1987,0.823,,,,,,,,,,,,
Ponta Porã (MS),1866,0.701,1346,0.708,1995,0.598,2562,0.812,,,,,,,,,,,,
Ribeirão do Pinhal (PR),1866,0.701,2035,0.684,1744,0.611,1951,0.824,,,,,,,,,,,,
Presidente Olegário (MG),1866,0.701,2182,0.679,1744,0.611,1603,0.831,,,,,,,,,,,,
Nanuque (MG),1866,0.701,2513,0.666,1782,0.609,722,0.85,,,,,,,,,,,,
São Sebastião da Grama (SP),1866,0.701,1915,0.689,1782,0.609,2161,0.82,,,,,,,,,,,,
Alto Garças (MT),1866,0.701,1372,0.707,2293,0.583,1419,0.835,,,,,,,,,,,,
Campo Magro (PR),1866,0.701,2020,0.685,1822,0.607,1747,0.828,,,,,,,,,,,,
Dona Eusébia (MG),1866,0.701,2035,0.684,1995,0.598,1128,0.841,,,,,,,,,,,,
Tabaí (RS),1866,0.701,1768,0.694,2045,0.595,1464,0.834,,,,,,,,,,,,
Morro Grande (SC),1866,0.701,565,0.742,3029,0.548,846,0.847,,,,,,,,,,,,
Taquarituba (SP),1866,0.701,1576,0.7,1835,0.606,2611,0.811,,,,,,,,,,,,
Mariana Pimentel (RS),1866,0.701,1547,0.701,2600,0.568,276,0.866,,,,,,,,,,,,
Patos (PB),1866,0.701,2490,0.667,1433,0.628,2112,0.821,,,,,,,,,,,,
Marcelândia (MT),1866,0.701,1576,0.7,1880,0.604,2504,0.813,,,,,,,,,,,,
Braganey (PR),1866,0.701,1915,0.689,1457,0.627,3252,0.797,,,,,,,,,,,,
Ipameri (GO),1866,0.701,1268,0.711,2185,0.588,1987,0.823,,,,,,,,,,,,
Dianópolis (TO),1866,0.701,2343,0.673,1517,0.624,2064,0.822,,,,,,,,,,,,
Guaranésia (MG),1866,0.701,1797,0.693,2174,0.589,943,0.845,,,,,,,,,,,,
Luziânia (GO),1866,0.701,1915,0.689,1921,0.602,1603,0.831,,,,,,,,,,,,
Araguainha (MT),1866,0.701,2842,0.65,1457,0.627,986,0.844,,,,,,,,,,,,
Santa Terezinha de Goiás (GO),1866,0.701,2883,0.647,1112,0.644,1846,0.826,,,,,,,,,,,,
Primeiro de Maio (PR),1866,0.701,1741,0.695,1977,0.599,1846,0.826,,,,,,,,,,,,
Indiara (GO),1866,0.701,1768,0.694,2084,0.593,1315,0.837,,,,,,,,,,,,
Brasilândia (MS),1866,0.701,1008,0.721,2557,0.57,1315,0.837,,,,,,,,,,,,
Nova Ponte (MG),1866,0.701,739,0.734,2729,0.562,1419,0.835,,,,,,,,,,,,
Barra Bonita (SC),1866,0.701,1817,0.692,1977,0.599,1647,0.83,,,,,,,,,,,,
Florestópolis (PR),1866,0.701,2090,0.682,1492,0.625,2805,0.807,,,,,,,,,,,,
Boqueirão do Leão (RS),1904,0.7,918,0.725,2729,0.562,1032,0.843,,,,,,,,,,,,
Boa Esperança do Iguaçu (PR),1904,0.7,2343,0.673,1921,0.602,792,0.848,,,,,,,,,,,,
Carmópolis de Minas (MG),1904,0.7,1768,0.694,2304,0.582,722,0.85,,,,,,,,,,,,
Santo Antônio de Jesus (BA),1904,0.7,2230,0.677,1556,0.622,2407,0.815,,,,,,,,,,,,
Santa Mariana (PR),1904,0.7,2035,0.684,1517,0.624,2940,0.804,,,,,,,,,,,,
Paraíso (SC),1904,0.7,848,0.728,2671,0.565,1515,0.833,,,,,,,,,,,,
Floriano (PI),1904,0.7,2266,0.676,1329,0.633,3026,0.802,,,,,,,,,,,,
Juquiá (SP),1904,0.7,2767,0.654,1248,0.637,1987,0.823,,,,,,,,,,,,
Porto Amazonas (PR),1904,0.7,1346,0.708,2045,0.595,2407,0.815,,,,,,,,,,,,
Alto Alegre (SP),1904,0.7,2061,0.683,1670,0.616,2307,0.817,,,,,,,,,,,,
Piraquara (PR),1904,0.7,1915,0.689,2475,0.574,222,0.869,,,,,,,,,,,,
Cacequi (RS),1904,0.7,2149,0.68,1473,0.626,2805,0.807,,,,,,,,,,,,
Corumbá (MS),1904,0.7,1547,0.701,2233,0.586,1464,0.834,,,,,,,,,,,,
Conceição do Pará (MG),1904,0.7,1967,0.687,2185,0.588,722,0.85,,,,,,,,,,,,
Salgado Filho (PR),1904,0.7,2090,0.682,1880,0.604,1603,0.831,,,,,,,,,,,,
Aurilândia (GO),1904,0.7,2626,0.661,1593,0.62,1370,0.836,,,,,,,,,,,,
Andrelândia (MG),1904,0.7,2295,0.675,1577,0.621,2259,0.818,,,,,,,,,,,,
Vidal Ramos (SC),1904,0.7,848,0.728,2185,0.588,3026,0.802,,,,,,,,,,,,
Cachoeiras de Macacu (RJ),1904,0.7,1741,0.695,1904,0.603,2307,0.817,,,,,,,,,,,,
Pérola (PR),1904,0.7,1449,0.704,1822,0.607,2940,0.804,,,,,,,,,,,,
Joaquim Távora (PR),1904,0.7,1605,0.699,1712,0.613,3077,0.801,,,,,,,,,,,,
São Tomás de Aquino (MG),1904,0.7,1817,0.692,2600,0.568,135,0.874,,,,,,,,,,,,
Rolim de Moura (RO),1904,0.7,1318,0.709,1995,0.598,2754,0.808,,,,,,,,,,,,
Ubiretama (RS),1904,0.7,1858,0.691,1712,0.613,2696,0.809,,,,,,,,,,,,
Sangão (SC),1904,0.7,918,0.725,2908,0.554,610,0.853,,,,,,,,,,,,
Bocaiúva (MG),1904,0.7,2871,0.648,1112,0.644,2064,0.822,,,,,,,,,,,,
Naviraí (MS),1904,0.7,1166,0.715,2014,0.597,2990,0.803,,,,,,,,,,,,
Ubarana (SP),1904,0.7,2375,0.672,1880,0.604,986,0.844,,,,,,,,,,,,
São Roque do Canaã (ES),1904,0.7,1996,0.686,1535,0.623,2990,0.803,,,,,,,,,,,,
Americano do Brasil (GO),1904,0.7,2448,0.669,1370,0.631,2504,0.813,,,,,,,,,,,,
Alvorada (RS),1934,0.699,1768,0.694,2690,0.564,135,0.874,,,,,,,,,,,,
Jaraguá (GO),1934,0.699,1817,0.692,2185,0.588,1128,0.841,,,,,,,,,,,,
Irineópolis (SC),1934,0.699,1039,0.72,2633,0.567,1370,0.836,,,,,,,,,,,,
Barbosa (SP),1934,0.699,2266,0.676,1977,0.599,1032,0.843,,,,,,,,,,,,
Novo Brasil (GO),1934,0.699,1858,0.691,1995,0.598,1747,0.828,,,,,,,,,,,,
Cruz das Almas (BA),1934,0.699,2667,0.659,1020,0.65,3292,0.796,,,,,,,,,,,,
Anchieta (SC),1934,0.699,1473,0.703,1802,0.608,3129,0.8,,,,,,,,,,,,
Trindade (GO),1934,0.699,2090,0.682,1802,0.608,2064,0.822,,,,,,,,,,,,
Urupema (SC),1934,0.699,2490,0.667,1556,0.622,1987,0.823,,,,,,,,,,,,
Vera Cruz do Oeste (PR),1934,0.699,1516,0.702,1945,0.601,2611,0.811,,,,,,,,,,,,
Marzagão (GO),1934,0.699,1817,0.692,1945,0.601,2064,0.822,,,,,,,,,,,,
Capela do Alto (SP),1934,0.699,2343,0.673,1649,0.617,1987,0.823,,,,,,,,,,,,
Caiçara (RS),1934,0.699,1008,0.721,2338,0.58,2307,0.817,,,,,,,,,,,,
Vargem (SP),1934,0.699,1890,0.69,2133,0.591,1238,0.839,,,,,,,,,,,,
Douradina (MS),1934,0.699,1405,0.706,2014,0.597,2696,0.809,,,,,,,,,,,,
Maximiliano de Almeida (RS),1934,0.699,1605,0.699,2133,0.591,1905,0.825,,,,,,,,,,,,
Bom Retiro (SC),1934,0.699,1449,0.704,2798,0.559,222,0.869,,,,,,,,,,,,
Nobres (MT),1934,0.699,2295,0.675,1744,0.611,1798,0.827,,,,,,,,,,,,
Saudade do Iguaçu (PR),1934,0.699,1741,0.695,1744,0.611,2990,0.803,,,,,,,,,,,,
